author_given	author_family	affiliation	DOI
Anthony	Ventresque	School of Computer Science, University College Dublin, Ireland	10.1145/3531146.3533157
Christopher	L. Dancy	Dept of Industrial and Manufacturing Engineering &amp; Dept of Computer Science and Engineering, Pennsylvania State University, USA	10.1145/3531146.3533157
Inioluwa Deborah	Raji	University of California, Berkeley, USA	10.1145/3531146.3533158
I. Elizabeth	Kumar	Brown University, USA	10.1145/3531146.3533158
Aaron	Horowitz	American Civil Liberties Union, USA	10.1145/3531146.3533158
Andrew	Selbst	University of California, Los Angeles, USA	10.1145/3531146.3533158
Jaspar	Pahl	Multimodal Human Sensing, Fraunhofer-Institute for Integrated Circuits IIS, Germany and Cognitive Systems Group, University of Bamberg, Germany	10.1145/3531146.3533159
Ines	Rieger	Fraunhofer-Institute for Integrated Circuits IIS, Germany and Cognitive Systems Group, University of Bamberg, Germany	10.1145/3531146.3533159
Anna	MÃ¶ller	Fraunhofer-Institute for Integrated Circuits IIS, Germany and Chair for Visual Computing, Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg, Germany	10.1145/3531146.3533159
Thomas	Wittenberg	Fraunhofer-Institute for Integrated Circuits IIS, Germany and Chair for Visual Computing, Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg, Germany	10.1145/3531146.3533159
Ute	Schmid	Cognitive Systems Group, University of Bamberg, Germany and Project Group Comprehensible AI, Fraunhofer-Institute for Integrated Circuits IIS, Germany	10.1145/3531146.3533159
Wonyoung	So	Department of Urban Studies and Planning, Massachusetts Institute of Technology, USA	10.1145/3531146.3533160
Pranay	Lohia	Microsoft, India	10.1145/3531146.3533160
Rakesh	Pimplikar	IBM Research AI, India	10.1145/3531146.3533160
A.E.	Hosoi	Institute for Data, Systems, and Society, Massachusetts Institute of Technology, USA	10.1145/3531146.3533160
Catherine	D'Ignazio	Department of Urban Studies and Planning, Massachusetts Institute of Technology, USA	10.1145/3531146.3533160
Christina	Lu	DeepMind, United Kingdom	10.1145/3531146.3533161
Jackie	Kay	DeepMind, United Kingdom	10.1145/3531146.3533161
Kevin	McKee	DeepMind, United Kingdom	10.1145/3531146.3533161
Jakob	MÃ¶kander	Oxford Internet Institute, University of Oxford, United Kingdom	10.1145/3531146.3533162
Margi	Sheth	R&amp;D Data Office, AstraZeneca, United Kingdom	10.1145/3531146.3533162
David	Watson	Department of Statistical Science, University College London, United Kingdom	10.1145/3531146.3533162
Luciano	Floridi	Oxford Internet Institute, University of Oxford, United Kingdom and Department of Legal Studies, University of, Italy	10.1145/3531146.3533162
Rui-Jie	Yew	Massachusetts Institute of Technology, USA	10.1145/3531146.3533163
Alice	Xiang	Sony AI, Japan	10.1145/3531146.3533163
Yuhao	Du	Computer Science, University at Buffalo, USA	10.1145/3531146.3533165
Stefania	Ionescu	Informatics, University of Zurich, Switzerland	10.1145/3531146.3533165
Melanie	Sage	Social Work, University at Buffalo, USA	10.1145/3531146.3533165
Kenneth	Joseph	Computer Science, University at Buffalo, USA	10.1145/3531146.3533165
Stephen	Pfohl	Stanford University, USA and Google, USA	10.1145/3531146.3533166
Yizhe	Xu	Stanford University, USA	10.1145/3531146.3533166
Agata	Foryciarz	Stanford University, USA	10.1145/3531146.3533166
Nikolaos	Ignatiadis	Stanford University, USA	10.1145/3531146.3533166
Julian	Genkins	Stanford University, USA	10.1145/3531146.3533166
Nigam	Shah	Stanford University, USA	10.1145/3531146.3533166
Alan	Mishler	JP Morgan AI Research, USA	10.1145/3531146.3533167
Edward H.	Kennedy	Department of Statistics &amp; Data Science, Carnegie Mellon University, USA	10.1145/3531146.3533167
Emanuele	Albini	J.P. Morgan AI Research, United Kingdom	10.1145/3531146.3533168
Jason	Long	J.P. Morgan AI Research, United Kingdom	10.1145/3531146.3533168
Danial	Dervovic	J.P. Morgan AI Research, United Kingdom	10.1145/3531146.3533168
Daniele	Magazzeni	J.P. Morgan AI Research, United Kingdom	10.1145/3531146.3533168
Maarten	Buyl	Ghent University, Belgium	10.1145/3531146.3533169
Christina	Cociancig	University of Bremen, Germany	10.1145/3531146.3533169
Cristina	Frattone	Roma Tre University, Italy	10.1145/3531146.3533169
Nele	Roekens	Unia, Belgium	10.1145/3531146.3533169
David	Watson	Department of Statistical Science, University College London, United Kingdom	10.1145/3531146.3533170
Tasfia	Mashiat	George Mason University, USA	10.1145/3531146.3533171
Xavier	Gitiaux	George Mason University, USA	10.1145/3531146.3533171
Huzefa	Rangwala	George Mason University, USA	10.1145/3531146.3533171
Patrick	Fowler	Washington University in St. Louis, USA	10.1145/3531146.3533171
Sanmay	Das	George Mason University, USA	10.1145/3531146.3533171
Ira	Globus-Harris	University of Pennsylvania/Amazon, USA	10.1145/3531146.3533172
Michael	Kearns	University of Pennsylvania/Amazon, USA	10.1145/3531146.3533172
Aaron	Roth	University of Pennsylvania/Amazon, USA	10.1145/3531146.3533172
Jerry	Lin	Duke University, USA	10.1145/3531146.3533174
Carolyn	Chen	Duke University, USA	10.1145/3531146.3533174
Marc	Chmielewski	Duke University, USA	10.1145/3531146.3533174
Samia	Zaman	Duke University, USA	10.1145/3531146.3533174
Brandon	Fain	Computer Science, Duke University, USA	10.1145/3531146.3533174
Lydia R.	Lucchesi	Australian National University, Australia and CSIRO's Data61, Australia	10.1145/3531146.3533175
Petra M.	Kuhnert	CSIRO's Data61, Australia and Australian National University, Australia	10.1145/3531146.3533175
Jenny L.	Davis	Australian National University, Australia	10.1145/3531146.3533175
Lexing	Xie	Australian National University, Australia and CSIRO's Data61, Australia	10.1145/3531146.3533175
Marietjie Wilhelmina Maria	Botes	Computer Sciences, SnT Interdisciplinary Centre for Security Reliability and Trust, Luxembourg	10.1145/3531146.3533176
Logan	Stapleton	University of Minnesota, USA	10.1145/3531146.3533177
Min Hun	Lee	Singapore Management University, Singapore	10.1145/3531146.3533177
Diana	Qing	University of California, Berkeley, USA	10.1145/3531146.3533177
Marya	Wright	University of Southern California, USA	10.1145/3531146.3533177
Alexandra	Chouldechova	Carnegie Mellon University, USA	10.1145/3531146.3533177
Ken	Holstein	Carnegie Mellon University, USA	10.1145/3531146.3533177
Zhiwei Steven	Wu	Carnegie Mellon University, USA	10.1145/3531146.3533177
Haiyi	Zhu	Carnegie Mellon University, USA	10.1145/3531146.3533177
Avrim	Blum	TTIC, USA	10.1145/3531146.3533178
Kevin	Stangl	TTIC, USA	10.1145/3531146.3533178
Ali	Vakilian	TTIC, USA	10.1145/3531146.3533178
Aparna	Balagopalan	Massachusetts Institute of Technology, USA	10.1145/3531146.3533179
Haoran	Zhang	Massachusetts Institute of Technology, USA	10.1145/3531146.3533179
Kimia	Hamidieh	University of Toronto/Vector Institute, Canada	10.1145/3531146.3533179
Thomas	Hartvigsen	Massachusetts Institute of Technology, USA	10.1145/3531146.3533179
Frank	Rudzicz	University of Toronto/Vector Institute, Canada and Unity Health Toronto, Canada	10.1145/3531146.3533179
Marzyeh	Ghassemi	Massachusetts Institute of Technology, USA and Vector Institute, Canada	10.1145/3531146.3533179
Emily	Diana	University of Pennsylvania, USA	10.1145/3531146.3533180
Wesley	Gill	University of Pennsylvania, USA	10.1145/3531146.3533180
Michael	Kearns	University of Pennsylvania, USA and Amazon AWS AI, USA	10.1145/3531146.3533180
Krishnaram	Kenthapadi	Fiddler AI, USA	10.1145/3531146.3533180
Aaron	Roth	University of Pennsylvania, USA and Amazon AWS AI, USA	10.1145/3531146.3533180
Saeed	Sharifi-Malvajerdi	University of Pennsylvania, USA	10.1145/3531146.3533180
Aida	Rahmattalabi	University of Southern California, USA	10.1145/3531146.3533181
Phebe	Vayanos	University of Southern California, USA	10.1145/3531146.3533181
Kathryn	Dullerud	University of Southern California, USA	10.1145/3531146.3533181
Eric	Rice	University of Southern California, USA	10.1145/3531146.3533181
Q.Vera	Liao	Microsoft Research, Canada	10.1145/3531146.3533182
S. Shyam	Sundar	Pennsylvania State University, USA	10.1145/3531146.3533182
Robert	Wolfe	University of Washington, USA	10.1145/3531146.3533183
Aylin	Caliskan	University of Washington, USA	10.1145/3531146.3533183
Yusuke	Hirota	Osaka University, Japan	10.1145/3531146.3533184
Yuta	Nakashima	Osaka University, Japan	10.1145/3531146.3533184
Noa	Garcia	Osaka University, Japan	10.1145/3531146.3533184
Robert	Wolfe	University of Washington, USA	10.1145/3531146.3533185
Mahzarin R.	Banaji	Harvard University, USA	10.1145/3531146.3533185
Aylin	Caliskan	University of Washington, USA	10.1145/3531146.3533185
Upol	Ehsan	Georgia Institute of Technology, USA	10.1145/3531146.3533186
Ranjit	Singh	AI on the Ground Initiative, Data &amp; Society Research Institute, USA	10.1145/3531146.3533186
Jacob	Metcalf	AI on the Ground Initiative, Data &amp; Society Research Institute, USA	10.1145/3531146.3533186
Mark	Riedl	Georgia Institute of Technology, USA	10.1145/3531146.3533186
Yongjie	Wang	School of Computer Science and Engineering, Nanyang Technological University, Singapore	10.1145/3531146.3533188
Hangwei	Qian	School of Computer Science and Engineering, Nanyang Technological University, Singapore	10.1145/3531146.3533188
Chunyan	Miao	School of Computer Science and Engineering, Nanyang Technological University, Singapore	10.1145/3531146.3533188
Ruoxi	Shang	University of Washington, USA	10.1145/3531146.3533189
K. J. Kevin	Feng	University of Washington, USA	10.1145/3531146.3533189
Chirag	Shah	University of Washington, USA	10.1145/3531146.3533189
Catalina	Goanta	Utrecht University, Netherlands	10.1145/3531146.3533190
Thales	Bertaglia	Maastricht University, Netherlands	10.1145/3531146.3533190
Adriana	Iamnitchi	Maastricht University, Netherlands	10.1145/3531146.3533190
Patrick	Schramowski	Computer Science Department, Technical University Darmstadt, Germany and Hessian Center for AI (hessian.AI), Germany	10.1145/3531146.3533192
Christopher	Tauchmann	Computer Science Department, Technical University Darmstadt, Germany and Hessian Center for AI (hessian.AI), Germany	10.1145/3531146.3533192
Kristian	Kersting	Computer Science Department and Centre for Cognitive Science, Technical University Darmstadt, Germany and Hessian Center for AI (hessian.AI), Germany	10.1145/3531146.3533192
Riccardo	Fogliato	Carnegie Mellon University, USA	10.1145/3531146.3533193
Shreya	Chappidi	University of Virginia, USA	10.1145/3531146.3533193
Matthew	Lungren	Stanford, USA	10.1145/3531146.3533193
Paul	Fisher	Antech Imaging Services, USA	10.1145/3531146.3533193
Diane	Wilson	Antech Imaging Services, USA	10.1145/3531146.3533193
Michael	Fitzke	Mars Digital Technologies, Germany	10.1145/3531146.3533193
Mark	Parkinson	Mars Digital Technologies, USA	10.1145/3531146.3533193
Eric	Horvitz	Microsoft Research, USA	10.1145/3531146.3533193
Kori	Inkpen	Microsoft Research, USA	10.1145/3531146.3533193
Besmira	Nushi	Microsoft Research, USA	10.1145/3531146.3533193
Meg	Young	Cornell Tech, USA	10.1145/3531146.3533194
Michael	Katell	The Alan Turing Institute, United Kingdom	10.1145/3531146.3533194
P.M.	Krafft	University of the Arts London, United Kingdom	10.1145/3531146.3533194
Lauren	Thornton	Lancaster University, United Kingdom	10.1145/3531146.3533196
Bran	Knowles	Lancaster University, United Kingdom	10.1145/3531146.3533196
Gordon	Blair	UK Centre for Ecology and Hydrology, United Kingdom	10.1145/3531146.3533196
Francois	Buet-Golfouse	University College London, United Kingdom	10.1145/3531146.3533197
Islam	Utyagulov	Independent, United Kingdom	10.1145/3531146.3533197
Daniel	Susser	College of Information Sciences &amp; Technology, The Pennsylvania State University, USA	10.1145/3531146.3533198
Miriam	Rateike	Max Planck Institute of Intelligent Systems, TÃ¼bingen, Germany and Saarland University, Germany	10.1145/3531146.3533199
Ayan	Majumdar	Max Planck Institute for Software Systems, Germany and Saarland University, Germany	10.1145/3531146.3533199
Olga	Mineeva	ETH ZÃ¼rich, Switzerland and Max Planck Institute for Intelligent Systems, TÃ¼bingen, Germany	10.1145/3531146.3533199
Krishna P.	Gummadi	Max Planck Institute for Software Systems, Germany	10.1145/3531146.3533199
Isabel	Valera	Saarland University, Germany and Max Planck Institute for Software Systems, Germany	10.1145/3531146.3533199
Marie-Therese	Png	Oxford Internet Institute, United Kingdom	10.1145/3531146.3533200
Lindsay	Poirier	Statistical and Data Sciences, Smith College, USA	10.1145/3531146.3533201
Andrea	Ferrario	ETH Zurich, Switzerland	10.1145/3531146.3533202
Michele	Loi	Politecnico di Milano, Italy	10.1145/3531146.3533202
William	Cai	Stanford, USA	10.1145/3531146.3533203
Ro	Encarnacion	Stanford, USA	10.1145/3531146.3533203
Bobbie	Chern	Meta, USA	10.1145/3531146.3533203
Sam	Corbett-Davies	Meta, USA	10.1145/3531146.3533203
Miranda	Bogen	Meta, USA	10.1145/3531146.3533203
Stevie	Bergman	Meta, USA	10.1145/3531146.3533203
Sharad	Goel	Harvard, USA	10.1145/3531146.3533203
Emily	Black	Computer Science Dept., Carngie Mellon University, USA	10.1145/3531146.3533204
Hadi	Elzayn	Stanford University, USA	10.1145/3531146.3533204
Alexandra	Chouldechova	Carnegie Mellon University, USA	10.1145/3531146.3533204
Jacob	Goldin	Stanford University, USA	10.1145/3531146.3533204
Daniel	Ho	Stanford University, USA	10.1145/3531146.3533204
Terrence	Neumann	University of Texas at Austin, USA	10.1145/3531146.3533205
Maria	De-Arteaga	University of Texas at Austin, USA	10.1145/3531146.3533205
Sina	Fazelpour	Northeastern University, USA	10.1145/3531146.3533205
Nic	Fishman	University of Oxford, United Kingdom	10.1145/3531146.3533206
Leif	Hancox-Li	Capital One, USA	10.1145/3531146.3533206
Goda	KlumbytÄ—	Faculty of Electrical Engineering and Computer Science, University of Kassel, Germany	10.1145/3531146.3533207
Claude	Draude	Faculty of Electrical Engineering and Computer Science, University of Kassel, Germany	10.1145/3531146.3533207
Alex S.	Taylor	Centre for Human-Computer Interaction Design, City, University of London, United Kingdom	10.1145/3531146.3533207
Sushant	Agarwal	University of Waterloo, Canada	10.1145/3531146.3533209
Amit	Deshpande	Microsoft Research, India	10.1145/3531146.3533209
Abdulaziz A.	Almuzaini	Rutgers University, USA	10.1145/3531146.3533211
Chidansh A.	Bhatt	IBM, USA	10.1145/3531146.3533211
David M.	Pennock	Rutgers University, USA	10.1145/3531146.3533211
Vivek K.	Singh	Rutgers University, USA	10.1145/3531146.3533211
Kristina	Irion	Institute for Information Law, University of Amsterdam, Netherlands	10.1145/3531146.3533212
Sasha	Costanza-Chock	Algorithmic Justice League, USA	10.1145/3531146.3533213
Inioluwa Deborah	Raji	Algorithmic Justice League, USA	10.1145/3531146.3533213
Joy	Buolamwini	Algorithmic Justice League, USA	10.1145/3531146.3533213
Roel	Dobbe	Technology, Policy and Management, Delft University of Technology, Netherlands	10.1145/3531146.3533215
Pratik S.	Sachdeva	D-Lab, University of California, Berkeley, USA	10.1145/3531146.3533216
Renata	Barreto	University of California, Berkeley, USA	10.1145/3531146.3533216
Claudia	von Vacano	University of California, Berkeley, USA	10.1145/3531146.3533216
Chris J.	Kennedy	Harvard Medical School, USA	10.1145/3531146.3533216
Gauri	Kambhatla	University of Texas at Austin, USA	10.1145/3531146.3533217
Ian	Stewart	University of Michigan, USA	10.1145/3531146.3533217
Rada	Mihalcea	University of Michigan, USA	10.1145/3531146.3533217
Jakob	Schoeffer	Karlsruhe Institute of Technology (KIT), Germany	10.1145/3531146.3533218
Niklas	Kuehl	Karlsruhe Institute of Technology (KIT), Germany	10.1145/3531146.3533218
Yvette	Machowski	Karlsruhe Institute of Technology (KIT), Germany	10.1145/3531146.3533218
Brian	Brubach	Computer Science Department, Wellesley College, USA	10.1145/3531146.3533219
Audrey	Ballarin	Wellesley College, USA	10.1145/3531146.3533219
Heeba	Nazeer	Wellesley College, USA	10.1145/3531146.3533219
Kate	Donahue	Cornell University, USA	10.1145/3531146.3533221
Alexandra	Chouldechova	Amazon, USA	10.1145/3531146.3533221
Krishnaram	Kenthapadi	Fiddler AI, USA	10.1145/3531146.3533221
Shikun	Zhang	Carnegie Mellon University, USA	10.1145/3531146.3533222
Yan	Shvartzshnaider	Department of Electrical Engineering and Computer Science / Lassonde School of Engineering/ The Privacy Rhythm research lab, York University, Canada	10.1145/3531146.3533222
Yuanyuan	Feng	University of Vermont, Department of Computer Science, University of Vermont, USA	10.1145/3531146.3533222
Helen	Nissenbaum	Digital Life Initiative, Cornell Tech, USA	10.1145/3531146.3533222
Norman	Sadeh	Carnegie Mellon University, USA	10.1145/3531146.3533222
Rebecca Ann	Johnson	Georgetown McCourt School of Public Policy, USA	10.1145/3531146.3533223
Simone	Zhang	Sociology, University of Notre Dame, USA	10.1145/3531146.3533223
Cj	Barberan	Rice University, USA	10.1145/3531146.3533224
Sina	Alemmohammad	Rice University, USA	10.1145/3531146.3533224
Naiming	Liu	Rice University, USA	10.1145/3531146.3533224
Randall	Balestriero	Rice University, USA	10.1145/3531146.3533224
Richard	Baraniuk	Rice University, USA	10.1145/3531146.3533224
Ziwei	Wu	School of Information Sciences, University of Illinois at Urbana-Champaign, USA	10.1145/3531146.3533225
Jingrui	He	School of Information Sciences, University of Illinois at Urbana-Champaign, USA	10.1145/3531146.3533225
McKane	Andrus	Partnership on AI, USA	10.1145/3531146.3533226
Sarah	Villeneuve	Partnership on AI, USA	10.1145/3531146.3533226
Nathan	Matias	Citizens and Technology Lab, Cornell University, USA	10.1145/3531146.3533227
Eric	Pennington	Citizens and Technology Lab, Cornell University, USA	10.1145/3531146.3533227
Zenobia	Chan	Department of Politics, Princeton University, USA	10.1145/3531146.3533227
Rediet	Abebe	Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, USA	10.1145/3531146.3533228
Moritz	Hardt	Max Planck Institute for Intelligent Systems, Germany	10.1145/3531146.3533228
Angela	Jin	Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, USA	10.1145/3531146.3533228
John	Miller	Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, USA	10.1145/3531146.3533228
Ludwig	Schmidt	Paul G. Allen School of Computer Science, University of Washington, USA	10.1145/3531146.3533228
Rebecca	Wexler	School of Law, University of California, Berkeley, USA	10.1145/3531146.3533228
Deep	Ganguli	Anthropic, USA	10.1145/3531146.3533229
Danny	Hernandez	Anthropic, USA	10.1145/3531146.3533229
Liane	Lovitt	Anthropic, USA	10.1145/3531146.3533229
Amanda	Askell	Anthropic, USA	10.1145/3531146.3533229
Yuntao	Bai	Anthropic, USA	10.1145/3531146.3533229
Anna	Chen	Anthropic, USA	10.1145/3531146.3533229
Tom	Conerly	Anthropic, USA	10.1145/3531146.3533229
Nova	Dassarma	Anthropic, USA	10.1145/3531146.3533229
Dawn	Drain	Anthropic, USA	10.1145/3531146.3533229
Nelson	Elhage	Anthropic, USA	10.1145/3531146.3533229
Sheer	El Showk	Anthropic, USA	10.1145/3531146.3533229
Stanislav	Fort	Anthropic, USA	10.1145/3531146.3533229
Zac	Hatfield-Dodds	Anthropic, USA	10.1145/3531146.3533229
Tom	Henighan	Anthropic, USA	10.1145/3531146.3533229
Scott	Johnston	Anthropic, USA	10.1145/3531146.3533229
Andy	Jones	Anthropic, USA	10.1145/3531146.3533229
Nicholas	Joseph	Anthropic, USA	10.1145/3531146.3533229
Jackson	Kernian	Anthropic, USA	10.1145/3531146.3533229
Shauna	Kravec	Anthropic, USA	10.1145/3531146.3533229
Ben	Mann	Anthropic, USA	10.1145/3531146.3533229
Neel	Nanda	Anthropic, USA	10.1145/3531146.3533229
Kamal	Ndousse	Anthropic, USA	10.1145/3531146.3533229
Catherine	Olsson	Anthropic, USA	10.1145/3531146.3533229
Daniela	Amodei	Anthropic, USA	10.1145/3531146.3533229
Tom	Brown	Anthropic, USA	10.1145/3531146.3533229
Jared	Kaplan	Anthropic, USA	10.1145/3531146.3533229
Sam	McCandlish	Anthropic, USA	10.1145/3531146.3533229
Christopher	Olah	Anthropic, USA	10.1145/3531146.3533229
Dario	Amodei	Anthropic, USA	10.1145/3531146.3533229
Jack	Clark	Anthropic, USA	10.1145/3531146.3533229
Lydia	Reader	Washington University in St. Louis, USA	10.1145/3531146.3533230
Pegah	Nokhiz	Brown University, USA	10.1145/3531146.3533230
Cathleen	Power	Critical Learning, USA	10.1145/3531146.3533230
Neal	Patwari	Washington University in St. Louis, USA	10.1145/3531146.3533230
Suresh	Venkatasubramanian	Brown University, USA	10.1145/3531146.3533230
Sorelle	Friedler	Haverford College, USA	10.1145/3531146.3533230
Mahima	Pushkarna	Google Research, Canada	10.1145/3531146.3533231
Andrew	Zaldivar	Google Research, USA	10.1145/3531146.3533231
Oddur	Kjartansson	Google Research, United Kingdom	10.1145/3531146.3533231
Lesia	Semenova	Duke University, USA	10.1145/3531146.3533232
Cynthia	Rudin	Duke University, USA	10.1145/3531146.3533232
Ronald	Parr	Duke University, USA	10.1145/3531146.3533232
Ben	Hutchinson	Google Research, Australia	10.1145/3531146.3533233
Negar	Rostamzadeh	Google Research, Canada	10.1145/3531146.3533233
Christina	Greer	Google Research, USA	10.1145/3531146.3533233
Katherine	Heller	Google Research, USA	10.1145/3531146.3533233
Vinodkumar	Prabhakaran	Google Research, USA	10.1145/3531146.3533233
Jesse	Dodge	Allen Institute for AI, USA	10.1145/3531146.3533234
Taylor	Prewitt	Microsoft, USA	10.1145/3531146.3533234
Remi	Tachet des Combes	Microsoft Research, Canada	10.1145/3531146.3533234
Erika	Odmark	Microsoft, USA	10.1145/3531146.3533234
Roy	Schwartz	The Hebrew University of Jerusalem, Israel	10.1145/3531146.3533234
Emma	Strubell	Carnegie Mellon University, USA	10.1145/3531146.3533234
Alexandra Sasha	Luccioni	Hugging Face, Canada	10.1145/3531146.3533234
Noah A.	Smith	Allen Institute for AI, USA	10.1145/3531146.3533234
Nicole	DeCario	Allen Institute for AI, USA	10.1145/3531146.3533234
Will	Buchanan	Microsoft, USA	10.1145/3531146.3533234
Neel	Patel	Viterbi School of engineering, University of Southern California, USA	10.1145/3531146.3533235
Reza	Shokri	National University of Singapore, Singapore	10.1145/3531146.3533235
Yair	Zick	University of Massachusetts, Amherst, USA	10.1145/3531146.3533235
Przemyslaw A.	Grabowicz	College of Information and Computer Sciences, University of Massachusetts Amherst, USA	10.1145/3531146.3533236
Nicholas	Perello	University of Massachusetts Amherst, USA	10.1145/3531146.3533236
Aarshee	Mishra	University of Massachusetts Amherst, USA	10.1145/3531146.3533236
Divya	Ramesh	Computer Science and Engineering, University of Michigan, Ann Arbor, USA	10.1145/3531146.3533237
Vaishnav	Kameswaran	School of Information, University of Michigan, Ann Arbor, USA	10.1145/3531146.3533237
Ding	Wang	Google Research, India	10.1145/3531146.3533237
Nithya	Sambasivan	Unaffiliated, USA	10.1145/3531146.3533237
Gourab K.	Patro	Indian Institute of Technology, India and L3S Research Center, Germany	10.1145/3531146.3533238
Lorenzo	Porcaro	Universitat Pompeu Fabra, Spain	10.1145/3531146.3533238
Laura	Mitchell	Competition and Markets Authority, United Kingdom	10.1145/3531146.3533238
Qiuyue	Zhang	Accenture Plc, United Kingdom	10.1145/3531146.3533238
Meike	Zehlike	Zalando Research, Germany and Max-Planck-Institute for Software Systems, Germany	10.1145/3531146.3533238
Nikhil	Garg	Cornell Tech, USA	10.1145/3531146.3533238
Negar	Rostamzadeh	Google, Canada	10.1145/3531146.3533239
Diana	Mincu	Google, United Kingdom	10.1145/3531146.3533239
Subhrajit	Roy	Google, United Kingdom	10.1145/3531146.3533239
Andrew	Smart	Google, USA	10.1145/3531146.3533239
Lauren	Wilcox	Google, USA	10.1145/3531146.3533239
Mahima	Pushkarna	Google, Canada	10.1145/3531146.3533239
Jessica	Schrouff	Google, United Kingdom	10.1145/3531146.3533239
Razvan	Amironesei	Google, USA	10.1145/3531146.3533239
Nyalleng	Moorosi	Google, Ghana	10.1145/3531146.3533239
Katherine	Heller	Google, USA	10.1145/3531146.3533239
Greg	d'Eon	University of British Columbia, Canada	10.1145/3531146.3533240
Jason	d'Eon	Dalhousie University/Vector Institute, Canada	10.1145/3531146.3533240
James R.	Wright	University of Alberta, Canada	10.1145/3531146.3533240
Kevin	Leyton-Brown	University of British Columbia, Canada	10.1145/3531146.3533240
Ben	Gansky	Human and Social Dimensions in Science and Technology, Arizona State University, USA	10.1145/3531146.3533241
Sean	McDonald	Digital Public, USA	10.1145/3531146.3533241
Michael Carl	Tschantz	International Computer Science Institute, USA	10.1145/3531146.3533242
Cyrus	Cousins	Department of Computer Science, Brown University, USA	10.1145/3531146.3533243
Nikita	Mehandru	UC Berkeley, USA	10.1145/3531146.3533244
Samantha	Robertson	UC Berkeley, USA	10.1145/3531146.3533244
Niloufar	Salehi	UC Berkeley, USA	10.1145/3531146.3533244
Michele	Loi	Department of Mathematics, Politecnico di Milano, Italy	10.1145/3531146.3533245
Christoph	Heitz	Institute of Data Analysis and Process, Zurich University of Applied Sciences, Switzerland	10.1145/3531146.3533245
David Gray	Widder	School of Computer Science, Carnegie Mellon University, USA	10.1145/3531146.3533779
Dawn	Nafus	Intel Labs, Intel Corporation, USA	10.1145/3531146.3533779
Laura	Dabbish	School of Computer Science, Carnegie Mellon University, USA	10.1145/3531146.3533779
James	Herbsleb	School of Computer Science, Carnegie Mellon University, USA	10.1145/3531146.3533779
Carolyn	Ashurst	Alan Turing Institute, United Kingdom	10.1145/3531146.3533780
Emmie	Hine	Oxford Internet Institute, USA	10.1145/3531146.3533780
Paul	Sedille	Harvard Kennedy School, USA	10.1145/3531146.3533780
Alexis	Carlier	Centre for the Governance of AI, United Kingdom	10.1145/3531146.3533780
Carolyn	Ashurst	Alan Turing Institute, United Kingdom	10.1145/3531146.3533781
Solon	Barocas	Cornell / Microsoft Research, USA	10.1145/3531146.3533781
Rosie	Campbell	OpenAI, USA	10.1145/3531146.3533781
Deborah	Raji	UC Berkeley / Mozilla, USA	10.1145/3531146.3533781
Karen	Boyd	San Diego Workforce Partnership, USA	10.1145/3531146.3534626
Hannah	Devinney	UmeÃ¥ University, Sweden	10.1145/3531146.3534627
Jenny	BjÃ¶rklund	Uppsala University, Sweden	10.1145/3531146.3534627
Henrik	BjÃ¶rklund	UmeÃ¥ University, Sweden	10.1145/3531146.3534627
Gabriel	Lima	School of Computing, KAIST, Republic of Korea and Data Science Group, Institute for Basic Science, Republic of Korea	10.1145/3531146.3534628
Nina	GrgiÄ‡-HlaÄa	Max Planck Institute for Software Systems, Germany and Max Planck Institute for Research on Collective Goods, Germany	10.1145/3531146.3534628
Jin Keun	Jeong	School of Law, Kangwon National University, Republic of Korea	10.1145/3531146.3534628
Meeyoung	Cha	Data Science Group, Institute for Basic Science, Republic of Korea and School of Computing, KAIST, Republic of Korea	10.1145/3531146.3534628
Tim	Draws	Delft University of Technology, Netherlands	10.1145/3531146.3534629
David	La Barbera	University of Udine, Italy	10.1145/3531146.3534629
Michael	Soprano	University of Udine, Italy	10.1145/3531146.3534629
Kevin	Roitero	University of Udine, Italy	10.1145/3531146.3534629
Davide	Ceolin	CWI, Netherlands	10.1145/3531146.3534629
Alessandro	Checco	University of Rome La Sapienza, Italy	10.1145/3531146.3534629
Stefano	Mizzaro	University of Udine, Italy	10.1145/3531146.3534629
Ulrike	Kuhl	HammerLab for Machine Learning, Bielefeld University, Germany	10.1145/3531146.3534630
AndrÃ©	Artelt	HammerLab for Machine Learning, Bielefeld University, Germany	10.1145/3531146.3534630
Barbara	Hammer	HammerLab for Machine Learning, Bielefeld University, Germany	10.1145/3531146.3534630
Kristen M.	Scott	KU Leuven, Belgium	10.1145/3531146.3534631
Sonja Mei	Wang	TU Berlin, Germany	10.1145/3531146.3534631
Milagros	Miceli	TU Berlin, Germany and DAIR Institute, USA	10.1145/3531146.3534631
Pieter	Delobelle	KU Leuven, Belgium	10.1145/3531146.3534631
Karolina	Sztandar-Sztanderska	Faculty of Sociology, University of Warsaw, Poland	10.1145/3531146.3534631
Bettina	Berendt	TU Berlin, Germany and Weizenbaum Institute, Germany	10.1145/3531146.3534631
Amr	Sharaf	Microsoft, USA	10.1145/3531146.3534632
