author_given	author_family	affiliation	DOI
Nathan	Kallus	Cornell Tech, New York, New York, USA	10.1145/3287560.3287594
Xiaojie	Mao	Cornell Tech, New York, New York, USA	10.1145/3287560.3287594
Geoffry	Svacha	N/A	10.1145/3287560.3287594
Madeleine	Udell	Cornell University, Ithaca, New York, USA	10.1145/3287560.3287594
David	Madras	University of Toronto, Vector Institute	10.1145/3287560.3287564
Elliot	Creager	University of Toronto, Vector Institute	10.1145/3287560.3287564
Toniann	Pitassi	University of Toronto, Vector Institute	10.1145/3287560.3287564
Richard	Zemel	University of Toronto, Vector Institute	10.1145/3287560.3287564
Hussein	Mouzannar	American University of Beirut	10.1145/3287560.3287599
Mesrob I.	Ohannessian	Toyota Technological Institute at Chicago	10.1145/3287560.3287599
Nathan	Srebro	Toyota Technological Institute at Chicago	10.1145/3287560.3287599
Dallas	Card	Machine Learning Department, Carnegie Mellon University, Pittsburgh, Pennsylvania	10.1145/3287560.3287595
Michael	Zhang	Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, Washington	10.1145/3287560.3287595
Noah A.	Smith	Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, Washington and Allen Institute for Artificial, Intelligence, Seattle, Washington	10.1145/3287560.3287595
Maranke	Wieringa	Utrecht University, Utrecht, The Netherlands	10.1145/3351095.3372833
Ben	Green	Harvard University	10.1145/3351095.3372840
Salom̩	Viljoen	Cornell University &amp; New York University	10.1145/3351095.3372840
Sunny Seon	Kang	Inpher	10.1145/3351095.3373153
Inioluwa Deborah	Raji	Partnership on AI	10.1145/3351095.3372873
Andrew	Smart	Google	10.1145/3351095.3372873
Rebecca N.	White	Google	10.1145/3351095.3372873
Margaret	Mitchell	Google	10.1145/3351095.3372873
Timnit	Gebru	Google	10.1145/3351095.3372873
Ben	Hutchinson	Google	10.1145/3351095.3372873
Jamila	Smith-Loud	Google	10.1145/3351095.3372873
Daniel	Theron	Google	10.1145/3351095.3372873
Parker	Barnes	Google	10.1145/3351095.3372873
Michael	Katell	University of Washington	10.1145/3351095.3372874
Meg	Young	University of Washington	10.1145/3351095.3372874
Dharma	Dailey	University of Washington	10.1145/3351095.3372874
Bernease	Herman	University of Washington	10.1145/3351095.3372874
Vivian	Guetler	West Virginia University	10.1145/3351095.3372874
Aaron	Tam	University of Washington	10.1145/3351095.3372874
Corinne	Bintz	Middlebury College	10.1145/3351095.3372874
Daniella	Raz	University of Michigan	10.1145/3351095.3372874
P. M.	Krafft	University of Oxford and University of Washington	10.1145/3351095.3372874
Kacper	Sokol	University of Bristol, Bristol, United Kingdom	10.1145/3351095.3372870
Peter	Flach	University of Bristol, Bristol, United Kingdom	10.1145/3351095.3372870
Margot E.	Kaminski	University of Colorado	10.1145/3351095.3372875
Gianclaudio	Malgieri	Vrije Universiteit Brussels, Brussels, Belgium	10.1145/3351095.3372875
Solon	Barocas	Microsoft Research and Cornell University	10.1145/3351095.3372830
Andrew D.	Selbst	University of California Los Angeles	10.1145/3351095.3372830
Manish	Raghavan	Cornell University	10.1145/3351095.3372830
Ana	Lucic	University of Amsterdam, Amsterdam, Netherlands	10.1145/3351095.3372824
Hinda	Haned	Ahold Delhaize, Zaandam, Netherlands	10.1145/3351095.3372824
Maarten	de Rijke	University of Amsterdam, Amsterdam, Netherlands	10.1145/3351095.3372824
Mark	Sendak	Duke Institute for Health Innovation	10.1145/3351095.3372827
Madeleine Clare	Elish	Data &amp; Society Research Institute	10.1145/3351095.3372827
Michael	Gao	Duke Institute for Health Innovation	10.1145/3351095.3372827
Joseph	Futoma	Harvard University and Duke University	10.1145/3351095.3372827
William	Ratliff	Duke Institute for Health Innovation	10.1145/3351095.3372827
Marshall	Nichols	Duke Institute for Health Innovation	10.1145/3351095.3372827
Armando	Bedoya	Duke School of Medicine	10.1145/3351095.3372827
Suresh	Balu	Duke Institute for Health Innovation	10.1145/3351095.3372827
Cara	O'Brien	Duke School of Medicine	10.1145/3351095.3372827
Nathan	Kallus	Cornell University	10.1145/3351095.3373154
Xiaojie	Mao	Cornell University	10.1145/3351095.3373154
Angela	Zhou	Cornell University	10.1145/3351095.3373154
Emily	Black	Carnegie Mellon University	10.1145/3351095.3372845
