paper_id	id	country_code
2230	878	GBR
2231	879	USA
2232	880	GBR
2236	881	CHE
2238	882	DEU
2239	883	USA
2240	884	DEU
2241	885	GBR
2242	886	FIN
2244	887	IDN
2244	888	NAM
2246	889	USA
2247	890	GBR
2251	891	CHN
2252	892	ITA
2254	893	USA
2262	894	CHE
2265	895	USA
2266	896	GBR
2268	897	CHE
2271	898	JPN
2272	899	CIV
2272	900	CIV
2276	901	USA
2277	902	USA
2279	903	USA
2279	904	IND
2279	905	ITA
2279	906	RUS
2279	907	GBR
2279	908	DEU
2279	909	CAN
2279	910	ESP
2284	911	DEU
2285	912	DEU
2288	913	CHN
2288	914	USA
2289	915	CMR
2293	916	MYS
2298	917	CHE
2298	918	CHN
2300	919	USA
2302	920	KOR
2302	921	FRA
2302	922	COL
2302	923	IND
2302	924	CAN
2302	925	USA
2302	926	KWT
2302	927	CHN
2302	928	JAM
2302	929	TWN
2302	930	PHL
2302	931	VNM
2302	932	SRB
2302	933	NGA
2307	934	GBR
2307	935	USA
2309	936	USA
2312	937	GBR
2314	938	DEU
2315	939	ITA
2317	940	GBR
2317	941	NLD
2317	942	BEL
2318	943	FRA
2321	944	USA
2323	945	USA
2324	946	CHN
2327	947	USA
2330	948	DEU
2332	949	USA
2333	950	TWN
2335	951	USA
2339	952	GBR
2339	953	DEU
2340	954	CAN
2341	955	USA
2345	956	USA
2350	957	VEN
2350	958	UKR
2350	959	EGY
2350	960	SRB
2350	961	IND
2350	962	ITA
2350	963	PHL
2350	964	RUS
2350	965	COL
2350	966	TUR
2350	967	ARG
2350	968	BGD
2350	969	IDN
2350	970	MEX
2350	971	PAK
2350	972	PER
2350	973	USA
2350	974	VNM
2350	975	BRA
2350	976	CHL
2350	977	HRV
2350	978	ROU
2350	979	ZAF
2350	980	ECU
2350	981	FRA
2350	982	GRC
2350	983	HND
2351	984	USA
2353	985	DEU
2356	986	DEU
2359	987	USA
2362	988	CAN
2364	989	USA
2366	990	USA
2367	991	KOR
2373	992	DEU
2376	993	NOR
2377	994	JPN
2381	995	AUS
2387	996	COL
2388	997	GBR
2389	998	GBR
2390	999	FRA
2394	1000	USA
2397	1001	USA
2399	1002	USA
2400	1003	USA
2401	1004	USA
2402	1005	GBR
2404	1006	ITA
2406	1007	GBR
2409	1008	MYS
2411	1009	LUX
2413	1010	USA
2414	1011	USA
2417	1012	IRL
2422	1013	KOR
2423	1014	USA
2430	1015	FRA
2430	1016	GBR
2430	1017	BRA
2430	1018	NZL
2430	1019	ARG
2430	1020	CHE
2433	1021	GBR
2436	1022	MYS
2437	1023	GBR
2440	1024	FIN
2441	1025	CHN
2442	1026	SWE
2446	1027	GBR
2447	1028	CAN
2448	1029	GBR
2449	1030	USA
2451	1031	FRA
2452	1032	AUS
2452	1033	AUS
2452	1034	AUS
2452	1035	AUS
2452	1036	AUS
2452	1037	AUS
2456	1038	USA
2457	1039	GBR
2459	1040	CAN
2461	1041	DEU
2462	1042	USA
2466	1043	USA
2468	1044	USA
2468	1045	SWE
2469	1046	USA
2471	1047	BTN
2472	1048	GBR
2472	1049	GBR
2473	1050	JPN
2475	1051	USA
2476	1052	USA
2477	1053	NLD
2480	1054	DEU
2482	1055	KOR
2484	1056	SWE
2486	1057	GBR
2491	1058	USA
2492	1059	USA
2493	1060	DEU
2497	1061	USA
2498	1062	ISR
2499	1063	GBR
2502	1064	PRT
2503	1065	JPN
2505	1066	DEU
2509	1067	NLD
2514	1068	USA
2514	1069	GBR
2519	1070	GBR
2521	1071	GRC
2521	1072	GBR
2526	1073	DEU
2528	1074	DEU
2529	1075	AUS
2532	1076	AUS
2533	1077	USA
2533	1078	CAN
2533	1079	DEU
2533	1080	AUT
2533	1081	DNK
2533	1082	MAR
2533	1083	PHL
2533	1084	GBR
2537	1085	USA
2538	1086	KOR
2540	1087	USA
2541	1088	JPN
2542	1089	GBR
2543	1090	GBR
2548	1091	PAK
2549	1092	USA
2550	1093	IND
2554	1094	USA
2555	1095	AUS
2558	1096	GBR
2562	1097	USA
2566	1098	USA
2571	1099	HUN
2571	1100	ESP
2571	1101	SWE
2573	1102	DEU
2574	1103	CHN
2575	1104	AUS
2582	1105	USA
2587	1106	AUT
2595	1107	USA
2595	1108	CAN
2595	1109	PHL
2595	1110	BRA
2595	1111	AUT
2598	1112	GBR
2600	1113	IND
2616	1114	USA
2619	1115	USA
2619	1116	JPN
2619	1117	DEU
2620	1118	USA
2623	1119	PRT
2624	1120	USA
2624	1121	IND
2626	1122	USA
2626	1123	CAN
2626	1124	AUS
2626	1125	NZL
2626	1126	GBR
2626	1127	DEU
2626	1128	JPN
2629	1129	SWE
2630	1130	USA
2631	1131	CAN
2634	1132	KOR
2636	1133	USA
2639	1134	USA
2642	1135	CHN
2643	1136	PAK
2644	1137	DEU
2644	1138	USA
2644	1139	PRT
2644	1140	DNK
2644	1141	FRA
2645	1142	USA
2645	1143	IND
2645	1144	RUS
2645	1145	CHN
2645	1146	VNM
2645	1147	COL
2645	1148	HND
2645	1149	MEX
2645	1150	SLV
2652	1151	SWE
2655	1152	ZAF
2656	1153	SGP
2657	1154	DEU
2658	1155	CHN
2660	1156	CIV
2663	1157	USA
2665	1158	CHN
2667	1159	GBR
2667	1160	CHN
2669	1161	CHE
2671	1162	DNK
2672	1163	FIN
2676	1164	TWN
2678	1165	PAK
2679	1166	USA
2686	1167	GBR
2687	1168	DNK
2688	1169	USA
2695	1170	USA
2697	1171	USA
2698	1172	USA
2700	1173	USA
2703	1174	CAN
2704	1175	AUS
2707	1176	CHN
2708	1177	USA
2709	1178	USA
2710	1179	USA
2710	1180	IND
2710	1181	ITA
2710	1182	FRA
2710	1183	THA
2710	1184	ZAF
2711	1185	KOR
2712	1186	IRL
2713	1187	MEX
2713	1188	SLV
2713	1189	HND
2714	1190	USA
2715	1191	USA
2716	1192	AUS
2718	1193	PRT
2719	1194	DEU
2721	1195	USA
2723	1196	USA
2726	1197	USA
2727	1198	ITA
2728	1199	USA
2730	1200	USA
2733	1201	USA
2735	1202	USA
2735	1203	DEU
2735	1204	GBR
2735	1205	FIN
2735	1206	AUS
2738	1207	KEN
2738	1208	KEN
2738	1209	KEN
2738	1210	KEN
2740	1211	USA
