paper_id	id	country	city	nb_participants
2088	812	USA	Gainesville	24
2089	813	USA		14
2092	814	AUS	Melbourne	24
2093	815	USA	San Francisco	19
2094	816	GBR		15
2096	817	CAN		63
2096	818	USA		60
2097	819	USA		402
2106	820	USA	Boston	27
2108	821	GBR	London	13
2110	822	USA		15
2111	823	TUR		38
2115	824	GBR	Sunderland	7
2115	825	GBR	London	9
2116	826	USA		23
2118	827	CAN	Waterloo	28
2119	828	USA		39
2120	829	USA		31
2126	830	USA		125
2129	831	AUS		1
2129	832	PHL		1
2131	833	CAN	Toronto	14
2135	834	KOR	Daejon	12
2138	835	USA		15
2138	836	CAN		1
2142	837	DEU		6
2142	838	MEX		1
2142	839	MNG		1
2142	840	POL		1
2148	841	CAN	Vancouver	12
2149	842	USA		111
2150	843	USA		12
2153	844	USA		100
2157	845	USA	Atlanta	76
2157	846	IND	Mumbai	28
2158	847	USA	Seattle	16
2161	848	USA	Elko	28
2163	849	BGD	Jessore	56
2166	850	USA	Stanford	9
2167	851	DEU		36
2168	852	DEU		148
2173	853	USA		30
2174	854	USA		653
2178	855	PHL		12
2178	856	JPN		4
2178	857	CAN		1
2179	858	CHN		20
2181	859	USA	Boston	54
2186	860	GBR		14
2187	861	DEU	Saarbrücken	16
2188	862	IND	Amale	12
2189	863	FIN	Espoo	5
2197	864	GBR		12
2198	865	USA		3000
2200	866	AUS	Melbourne	24
2206	867	IRL		67
2206	868	BEL		58
2207	869	GBR		10
2207	870	BRA		1
2218	871	USA		550
2219	872	PAK		131
2222	873	ISR	Herzliya	30
2226	874	USA		317
2229	875	GBR		4
2229	876	NLD		3
2229	877	SWE		1
2230	878	GBR		8
2231	879	USA		6
2232	880	GBR		15
2236	881	CHE		36
2238	882	DEU		12
2239	883	USA		15
2240	884	DEU		7
2241	885	GBR		8
2242	886	FIN	Espoo	14
2244	887	IDN	Berau	12
2244	888	NAM	Grootfontein	8
2246	889	USA	Atlanta	53
2247	890	GBR	London	5
2251	891	CHN	Suzhou	30
2252	892	ITA	Pisa	17
2254	893	USA	Boston	80
2262	894	CHE	Geneva	12
2265	895	USA		32
2266	896	GBR		14
2268	897	CHE	Geneva	10
2271	898	JPN		16
2272	899	CIV	Adzopé	7
2272	900	CIV	Soubré	10
2276	901	USA		14
2277	902	USA		51
2279	903	USA		12
2279	904	IND		3
2279	905	ITA		1
2279	906	RUS		1
2279	907	GBR		3
2279	908	DEU		2
2279	909	CAN		1
2279	910	ESP		1
2284	911	DEU		36
2285	912	DEU		94
2288	913	CHN		32
2288	914	USA		32
2289	915	CMR	Yaoundé	41
2293	916	MYS		92
2298	917	CHE		60
2298	918	CHN		16
2300	919	USA	Seattle	63
2302	920	KOR		1
2302	921	FRA		1
2302	922	COL		1
2302	923	IND		2
2302	924	CAN		1
2302	925	USA		1
2302	926	KWT		1
2302	927	CHN		3
2302	928	JAM		1
2302	929	TWN		1
2302	930	PHL		1
2302	931	VNM		1
2302	932	SRB		1
2302	933	NGA		1
2307	934	GBR		46
2307	935	USA		29
2309	936	USA		117
2312	937	GBR	London	21
2314	938	DEU		60
2315	939	ITA		79
2317	940	GBR		6
2317	941	NLD		2
2317	942	BEL		2
2318	943	FRA	Paris	15
2321	944	USA		12
2323	945	USA		24
2324	946	CHN		14
2327	947	USA		781
2330	948	DEU		248
2332	949	USA		678
2333	950	TWN		34
2335	951	USA		4
2339	952	GBR		19
2339	953	DEU		16
2340	954	CAN		21
2341	955	USA		24
2345	956	USA		160
2350	957	VEN		55
2350	958	UKR		11
2350	959	EGY		10
2350	960	SRB		10
2350	961	IND		8
2350	962	ITA		8
2350	963	PHL		8
2350	964	RUS		8
2350	965	COL		6
2350	966	TUR		6
2350	967	ARG		5
2350	968	BGD		5
2350	969	IDN		5
2350	970	MEX		5
2350	971	PAK		5
2350	972	PER		5
2350	973	USA		5
2350	974	VNM		5
2350	975	BRA		4
2350	976	CHL		4
2350	977	HRV		4
2350	978	ROU		4
2350	979	ZAF		4
2350	980	ECU		3
2350	981	FRA		3
2350	982	GRC		3
2350	983	HND		3
2351	984	USA		120
2353	985	DEU		28
2356	986	DEU		64
2359	987	USA		153
2362	988	CAN	Saskatoon	16
2364	989	USA		35
2366	990	USA		199
2367	991	KOR		16
2373	992	DEU	Potsdam	18
2376	993	NOR		15
2377	994	JPN	Tokyo	12
2381	995	AUS	Melbourne	12
2387	996	COL		50
2388	997	GBR		52
2389	998	GBR		26
2390	999	FRA	Paris	10
2394	1000	USA		459
2397	1001	USA		174
2399	1002	USA		6
2400	1003	USA		13
2401	1004	USA	Ann Arbor	32
2402	1005	GBR		120
2404	1006	ITA	Trento	86
2406	1007	GBR		28
2409	1008	MYS		6
2411	1009	LUX		38
2413	1010	USA		454
2414	1011	USA		40
2417	1012	IRL		3
2422	1013	KOR		24
2423	1014	USA	Baltimore	6
2430	1015	FRA		2
2430	1016	GBR		4
2430	1017	BRA		2
2430	1018	NZL		2
2430	1019	ARG		6
2430	1020	CHE		2
2433	1021	GBR	Nottingham	43
2436	1022	MYS		20
2437	1023	GBR		15
2440	1024	FIN	Espoo	16
2441	1025	CHN	Hong Kong	18
2442	1026	SWE		520
2446	1027	GBR	Nottingham	27
2447	1028	CAN	Saskatoon	41
2448	1029	GBR	Swansea	16
2449	1030	USA		37
2451	1031	FRA	Paris	12
2452	1032	AUS	Melbourne	14
2452	1033	AUS	Sydney	7
2452	1034	AUS	Adelaide	5
2452	1035	AUS	Canberra	3
2452	1036	AUS	Darwin	1
2452	1037	AUS		12
2456	1038	USA		20
2457	1039	GBR		14
2459	1040	CAN		15
2461	1041	DEU	Würzburg	36
2462	1042	USA		21
2466	1043	USA		321
2468	1044	USA		16
2468	1045	SWE		4
2469	1046	USA		624
2471	1047	BTN		29
2472	1048	GBR	London	9
2472	1049	GBR	York	11
2473	1050	JPN		4
2475	1051	USA		63
2476	1052	USA		1749
2477	1053	NLD		30
2480	1054	DEU	Bremen	32
2482	1055	KOR		80
2484	1056	SWE	Stockholm	19
2486	1057	GBR		27
2491	1058	USA	Atlanta	55
